frame,x,y,undistort_x,undistort_y
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,589,305,562.807732,287.455030
8,597,303,572.082127,285.789189
9,608,299,584.660696,282.087966
10,620,296,598.370551,279.560319
11,630,292,609.612388,275.765027
12,641,290,622.055743,274.254681
13,654,288,636.673025,272.849231
14,666,285,649.994100,270.243858
15,678,282,663.226935,267.616541
16,690,281,676.487452,267.184554
17,702,280,689.660415,266.723508
18,714,278,702.700655,265.128711
19,726,278,715.763277,265.714386
20,740,277,730.859961,265.255636
21,752,277,743.761452,265.772315
22,764,276,756.555570,265.159870
23,777,278,770.461632,267.839258
24,792,277,786.298760,267.262787
25,804,278,798.967052,268.731990
26,818,279,813.673854,270.221193
27,832,281,828.338569,272.750381
28,845,282,841.879056,274.127020
29,859,284,856.426413,276.565231
30,874,287,871.967742,280.050091
31,888,290,886.423549,283.467200
32,902,292,900.825898,285.763446
33,916,296,915.208931,290.159332
34,931,300,930.578005,294.509401
35,946,304,945.915126,298.806911
36,960,308,960.207690,303.056186
37,974,314,974.476524,309.383932
38,989,319,989.754306,314.597755
39,1004,325,1005.018128,320.820678
40,1020,332,1021.291853,328.037739
41,1036,338,1037.585582,334.151859
42,1051,345,1052.859487,341.285960
43,1066,352,1068.156161,348.380212
44,1080,360,1082.435191,356.501757
45,1096,368,1098.815566,364.552732
46,1111,376,1114.212868,372.592327
47,1126,386,1129.625973,382.687869
48,1140,394,1144.099467,390.703813
49,1156,404,1160.704715,400.739277
50,1172,414,1177.410525,410.764004
51,1186,424,1192.093936,420.829628
52,1200,434,1206.875150,430.898448
53,1212,432,1219.860909,428.556152
54,1224,424,1233.092597,419.925542
55,1235,418,1245.296761,413.347265
56,1246,412,1257.607599,406.714577
57,1258,406,1271.147095,399.990708
58,1270,400,1284.823750,393.200484
59,1281,394,1297.507321,386.380653
60,1292,390,1310.234562,381.640838
61,1304,384,1324.335548,374.649038
62,1315,380,1337.331862,369.795803
63,1327,375,1351.697367,363.746575
64,1338,372,1364.927793,359.869912
65,1350,368,1379.564315,354.786126
66,1360,365,1391.877033,350.866695
67,1372,362,1406.780161,346.770766
68,1383,359,1420.621356,342.684512
69,1395,357,1435.814437,339.593602
70,1406,356,1449.847522,337.654976
71,1418,354,1465.413377,334.469082
72,1429,352,1479.877330,331.311018
73,1440,352,1494.352164,330.394131
74,1451,352,1509.002144,329.449410
75,1462,351,1523.923338,327.321163
76,1473,351,1538.944696,326.313773
77,1484,353,1553.969961,327.608495
78,1494,353,1567.971586,326.649760
79,1505,355,1583.373050,327.917575
80,1516,357,1598.980816,329.175778
81,1527,359,1614.803110,330.424385
82,1537,361,1629.361783,331.767489
83,1548,364,1645.513317,334.193882
84,1558,367,1660.375481,336.727468
85,1569,371,1676.887857,340.361490
86,1579,375,1692.087111,344.114647
