,frame,x,y,undistort_x,undistort_y
13,13,598.0,300.0,576.5452,288.571086
15,15,639.0,287.0,622.8449889999999,276.58108
16,16,659.0,282.0,645.053677,272.146022
17,17,679.0,278.0,667.046421,268.752553
18,18,700.0,273.0,689.84458,264.278583
19,19,723.0,267.0,714.523931,258.756759
20,20,740.0,264.0,732.658234,256.175123
21,21,762.0,260.0,755.934568,252.64716099999998
22,22,782.0,257.0,776.952543,250.059808
23,23,801.0,254.0,796.788876,247.383398
24,24,822.0,251.0,818.5989860000001,244.695486
25,25,841.0,249.0,838.252493,242.96368199999998
26,26,860.0,248.0,857.845795,242.23745499999998
27,27,879.0,247.0,877.371973,241.446852
28,28,897.0,246.0,895.822508,240.58199900000002
29,29,917.0,245.0,916.2866640000001,239.67087400000003
30,30,935.0,245.0,934.687319,239.748165
31,31,953.0,246.0,953.0767089999999,240.83175099999997
32,32,972.0,246.0,972.4880699999999,240.786409
33,33,990.0,246.0,990.8946050000001,240.682622
34,34,1007.0,249.0,1008.2744039999999,243.72796400000001
35,35,1024.0,249.0,1025.7141900000001,243.525061
36,36,1042.0,251.0,1044.200361,245.38619
37,37,1058.0,254.0,1060.655434,248.296844
38,38,1075.0,255.0,1078.239568,249.00995899999998
39,39,1091.0,258.0,1094.8088460000001,251.83394900000002
40,40,1107.0,261.0,1111.446023,254.61789100000001
41,41,1122.0,264.0,1127.108563,257.393012
42,42,1137.0,268.0,1142.8156,261.204059
43,43,1152.0,271.0,1158.637388,263.91634500000004
44,44,1167.0,275.0,1174.517126,267.668729
45,45,1182.0,280.0,1190.458096,272.46486400000003
46,46,1196.0,284.0,1205.457027,276.206697
47,47,1210.0,289.0,1220.516534,281.000989
48,48,1223.0,294.0,1234.5806710000002,285.821802
49,49,1237.0,299.0,1249.852873,290.58871600000003
50,50,1250.0,304.0,1264.128414,295.388873
51,51,1262.0,308.0,1277.433119,299.15227200000004
52,52,1275.0,315.0,1291.840648,306.092917
53,53,1288.0,320.0,1306.46434,310.88178
54,54,1299.0,326.0,1318.8609199999999,316.841609
55,55,1312.0,332.0,1333.691092,322.715239
57,57,1335.0,345.0,1360.188103,335.710719
58,58,1347.0,351.0,1374.248793,341.665276
59,59,1358.0,358.0,1387.19941,348.76661
60,60,1366.0,364.0,1396.660421,354.932404
61,61,1379.0,373.0,1412.2230140000001,364.16792000000004
62,62,1389.0,381.0,1424.2879169999999,372.474602
63,63,1395.0,379.0,1431.858839,370.049542
64,64,1406.0,372.0,1446.01559,361.903596
65,65,1416.0,366.0,1459.036116,354.820783
66,66,1424.0,361.0,1469.580281,348.879273
67,67,1432.0,357.0,1480.177767,344.001597
68,68,1442.0,351.0,1493.631525,336.72366
69,69,1450.0,347.0,1504.471968,331.743703
70,70,1459.0,342.0,1516.833083,325.52095299999996
71,71,1467.0,338.0,1527.913969,320.440599
72,72,1476.0,334.0,1540.483051,315.23963
73,73,1484.0,330.0,1551.8132640000001,310.05859
74,74,1492.0,327.0,1563.186522,305.98168599999997
75,75,1500.0,323.0,1574.7609730000001,300.70389500000005
76,76,1507.0,321.0,1584.865335,297.79031200000003
77,77,1516.0,318.0,1598.029546,293.503123
78,78,1523.0,316.0,1608.347325,290.525777
79,79,1532.0,313.0,1621.795415,286.149771
80,80,1539.0,312.0,1632.240198,284.292599
81,81,1547.0,311.0,1644.281207,282.315978
