,frame,x,y,undistort_x,undistort_y
10,10,564.0,312.0,537.1628139999999,299.800612
11,11,579.0,307.0,554.680879,295.169328
12,12,600.0,300.0,578.8685780000001,288.678918
13,13,616.0,295.0,597.068315,284.0868
14,14,636.0,291.0,619.652641,280.766576
15,15,657.0,285.0,642.9642610000001,275.294668
16,16,677.0,280.0,664.930608,270.82011600000004
17,17,692.0,277.0,681.2790110000001,268.24560299999996
18,18,711.0,273.0,701.796542,264.73146
19,19,729.0,270.0,721.093093,262.208584
20,20,747.0,267.0,740.235708,259.641536
21,21,765.0,264.0,759.240002,257.02877
22,22,783.0,263.0,778.178934,256.505075
23,23,801.0,261.0,796.972035,254.861154
24,24,817.0,259.0,813.5878700000001,253.119848
25,25,831.0,259.0,828.107224,253.425495
26,26,849.0,258.0,846.6798660000001,252.704483
27,27,866.0,258.0,864.171473,252.976035
28,28,882.0,257.0,880.5720150000001,252.12425299999998
29,29,897.0,258.0,895.9343859999999,253.340726
30,30,915.0,258.0,914.3205740000001,253.475747
31,31,930.0,259.0,929.625909,254.60414
32,32,946.0,260.0,945.935175,255.69353199999998
33,33,960.0,261.0,960.199134,256.74251
34,34,975.0,263.0,975.478016,258.810344
35,35,987.0,265.0,987.700357,260.858976
36,36,1002.0,267.0,1002.98914,262.857566
37,37,1017.0,270.0,1018.2837720000001,265.873985
38,38,1030.0,272.0,1031.562889,267.826078
39,39,1044.0,275.0,1045.87609,270.79078799999996
40,40,1055.0,278.0,1057.131589,273.77638199999996
41,41,1068.0,282.0,1070.4502539999999,277.75988
42,42,1080.0,285.0,1082.785406,280.686854
43,43,1092.0,289.0,1095.131801,284.646482
44,44,1104.0,293.0,1107.512322,288.587431
45,45,1117.0,297.0,1120.976369,292.486887
46,46,1126.0,301.0,1130.296862,296.46903399999997
47,47,1135.0,305.0,1139.642144,300.442392
48,48,1147.0,310.0,1152.1536039999999,305.377967
49,49,1156.0,314.0,1161.565095,309.334121
50,50,1167.0,319.0,1173.108328,314.27794900000004
51,51,1176.0,324.0,1182.564851,319.271485
52,52,1185.0,328.0,1192.086106,323.211344
53,53,1197.0,336.0,1204.7641119999998,331.25835
54,54,1203.0,341.0,1211.101492,336.329118
55,55,1213.0,346.0,1221.802945,341.284239
56,56,1221.0,352.0,1230.34729,347.34664399999997
57,57,1228.0,358.0,1237.834218,353.43906200000004
58,58,1235.0,355.0,1245.609976,350.088437
59,59,1240.0,350.0,1251.278027,344.674957
60,60,1246.0,344.0,1258.119384,338.148284
61,61,1251.0,339.0,1263.8545390000002,332.68310499999995
62,62,1258.0,331.0,1271.975672,323.925636
63,63,1264.0,327.0,1278.876359,319.42418399999997
64,64,1269.0,321.0,1284.77037,312.798475
65,65,1275.0,318.0,1291.7060210000002,309.318056
66,66,1279.0,314.0,1296.44284,304.833458
67,67,1286.0,309.0,1304.690365,299.104485
68,68,1291.0,305.0,1310.640941,294.52342200000004
69,69,1297.0,300.0,1317.837141,288.77747999999997
70,70,1301.0,297.0,1322.644578,285.290546
71,71,1306.0,294.0,1328.642047,281.732192
72,72,1311.0,291.0,1334.6715199999999,278.155362
73,73,1315.0,289.0,1339.4944369999998,275.72025299999996
