frame,x,y,undistort_x,undistort_y
0,,,,
1,,,,
2,,,,
3,,,,
4,558,312,529.981929,299.459047
5,579,303,554.456885,290.795330
6,597,306,575.702332,295.049578
7,621,297,602.897086,286.515915
8,639,291,623.043785,280.914899
9,663,288,649.788289,278.811468
10,681,282,669.426554,273.152385
11,702,276,692.147574,267.589858
12,732,273,724.422026,265.534239
13,756,270,749.902167,263.152454
14,771,267,765.669069,260.420729
15,798,261,793.838403,254.783151
16,816,261,812.594862,255.226923
17,831,264,828.208901,258.739279
18,852,258,849.771123,252.756112
19,873,261,871.396723,256.254358
20,891,258,889.797759,253.283223
21,909,258,908.195301,253.436979
22,927,264,926.586079,259.879248
23,942,264,941.864257,259.916749
24,966,264,966.304684,259.898332
25,981,264,981.588899,259.837787
26,996,270,996.842915,266.069525
27,1011,273,1012.121938,269.097438
28,1029,273,1030.525844,268.892981
29,1041,276,1042.782724,271.888706
30,1065,282,1067.357629,277.814270
31,1071,282,1073.545317,277.704060
32,1092,288,1095.153257,283.594540
33,1107,294,1110.613313,289.569908
34,1119,297,1123.067313,292.438112
35,1134,303,1138.642658,298.366887
36,1143,306,1148.039573,301.282709
37,1152,312,1157.384443,307.343286
38,1170,315,1176.419504,309.988476
39,1182,321,1189.074257,315.944771
40,1197,327,1205.032895,321.802190
41,1206,336,1214.497672,330.992391
42,1215,339,1224.188509,333.872574
43,1230,345,1240.414671,339.721749
44,1239,351,1250.142041,345.759474
45,1245,360,1256.505430,355.048730
46,1254,354,1266.692574,348.449218
47,1266,348,1280.335402,341.696711
48,1275,342,1290.717586,334.990351
49,1281,339,1297.649986,331.558247
50,1287,330,1304.873188,321.677012
51,1305,324,1325.910920,314.402518
52,1314,318,1336.709565,307.460558
53,1323,315,1347.454071,303.727974
54,1329,312,1354.723581,300.126918
55,1335,303,1362.389624,289.915341
56,1350,306,1380.255508,292.314061
57,1353,297,1384.463719,282.171675
58,1362,297,1395.452018,281.578528
59,1365,294,1399.338956,278.036037
60,1380,288,1418.356628,270.254959
61,1383,282,1422.563155,263.275937
62,1389,282,1430.107947,262.810384
63,1398,282,1441.508892,262.097091
64,1404,279,1449.413223,258.200457
65,1413,276,1461.250063,254.017952
66,1422,276,1472.944069,253.232610
67,1425,276,1476.866469,252.966600
68,1431,276,1484.748492,252.428197
69,1440,276,1496.666162,251.604546
70,1443,276,1500.664379,251.325690
71,1449,273,1508.986346,247.280184
72,1452,273,1513.026112,246.990560
73,1464,276,1529.022262,249.312731
74,1467,279,1532.832364,252.518429
75,1476,279,1545.225633,251.629397
76,1479,276,1549.689192,247.808616
77,1482,279,1553.558808,251.025649
78,1491,282,1565.858954,253.636517
79,1491,282,1565.858954,253.636517
80,1503,285,1582.557148,255.940974
81,1503,285,1582.557148,255.940974
82,1512,288,1595.154684,258.556267
83,1515,288,1599.487831,258.242903
